,texts,labels
877,በፀሎት ብቻ ምከንያቱም በየስብሰባው ሰለ ባለ ሰልጣኖቾ ንቅዘት ሲነሳ አታንጋጡ ይባላል በትግራይ ደግሞ አ ይላሉ ይህ ደግሞ አንገትታችሁን ድፉ ማለት ሰለሆነ  እኛም አንገታችን ዝም ብለን አንደፋም እግረመንገዳችን እንፀልያለን,positive
878,የአፍሪካን ኑሮ በርትቶ ለመኖር አበረታች ንጥረ ነገር ይኖር ይሁን,neutral
879,ገበሬው ምርታማ እንዲሆን ዘመናዊ መሳርያ ያስፈልገዋል,positive
880,ኢትዮጵያን ወደ ከቴክኖሎጂ አፍላቂ ሀገሮች  ተርታ የሚያስመድባትን ስራ መስራት አለብን,positive
881,ሆን ተብሎ እኛን ከውድድር ውጪ ለማድርግ የተሰራ ሰራ ነው ,negative
882,በዘር የመተላለፍ እድሉ በጣም ሰፊ ነው,neutral
883,ምዕራብያዋን የላኩብን ጣጣ ነው ,negative
884,በአብላጫዉ የምንመገበዉ ኬሚካላይዝድ ነዉ ገበሬዉ አምራቹ የሚጠቀመዉ መዳበሬያ በጣም አደገኛ መዳበሪያ ነዉ,neutral
885,በዋናነት ለዚህ ችግር የሚዳርጉ እና መፍቴዎቹ ከዚህ ፅሁፍ ገር ቢቀርብ ጥሩ ነው,negative
886,ያለቀለት ቆረቆንዳ ወያኔ ሠራሽ ሰው ሐይለማሪያም ደሳለኝ ነው,negative
887,ለዚህም የኢህአዴግ መንግስት ተጠያቂ እናድርግ ታዲያ አሁንም ደግማችሁ አስጨረሱና ,negative
888,ይህ የተፈጥሮ ጉዳይ ነው  ከዚህ ይልቅ ሰው ሰራሽ የሆነውን ይህን የሀገራችንን የስራ እጥረትን በተመለከተ እንዲህ መች እንደሚቀረፍ የሚመለከታቸውን አካላት ብታነጋግሩልን መልካም ነበር እላለሁ ,neutral
889,የመተማ ወረዳ አስተዳዳሪ አቶ ደሳለኝ ጣሰዉ እና የሰሜን ጎንደር ዞን አስተዳዳሪ አቶ አብይበህወሃት ቅጥረኞች መታሰራቸዉ ታወቀ ,negative
890,ምናለ ልክ እንዲሁ  እንዲያ መሪዎቻችንንም የስልጣን ማበረታቻ መድሃኒት ምርመራ እንዲደርጉ የሚያዝ አንድ አለም አቀፍ የሆነ ተቁዋም ቢኖር ኖሮ ,negative
891,አሪፍ ውሳኔ ነው,positive
892,አማራነት ወይም ሞት ወደፊት  ገና ወያኔ ጉዱ ይፈላል ገና በወሎም ,neutral
893,አባይ ግን ይገደባል,positive
894,ወያኔ ዘርፎ ለመፈርጠጥ አስቦ እንጂ ማምሻም ዕድሜ እንደሌለው ልቦናው ያውቃል  ሞት ለቅማላም አንበጣ ቆርጣሚ ወያኔ,negative
895,በገዛ አገራቸው ቢሆን ኖሮ ታስረው ወይም ተገለው ነበር,negative
896,ኢትዬጵያን ውስጥ በውሸት ተናግሮ ትግሬ ነኝ ያለ ብቻ ነው ነፃነትና ጥሩ ስራ እድል የሚሰጠው በወያኔ ግዜ ለአንድ ዘር መብት ለቆሙት,negative
897,ቅማላም ወያኔ  በቂ እህል አለኝ ሲል ሲሸልል አልነበር እንዴ ምነው እርዳታ ፈለገ ,negative
898,ለምን ለሰላም በሰላም አንወያይም,positive
899, ንፁሀን ደም ፈሶ አይቀርም ,neutral
900,እንደውም አዲስ አበባ ፊንፊኔ ወደ ባለቤትዋ ኦሮሚያ መካለል አለበት ,positive
901,መመርመሪያው ሀገር ውስጥ ስለሌለን የልብ ምታቸው ኖርማል ላይ ናቸው,negative
902,ሀቅ ነዉ አሁን ስለግድብ የምናስብበት ግዜ አይደለም አገራችን ላይ እየተፈፀመ ያለዉን የመግደል  የማሰር  የመደብደብ ጭካኔን ማስቆም  ነው,neutral
903,ዘርን ማንቋሸሽ  ምን አመጣው ተራቡ አዎ ተርበዋል  ግን  መፍትሄ  እንዴት  እናምጣ  ነው  ጉዳዩ ,positive
904,ስራ መንግሥት  ፈጥሯል  በግልም ሆነ  በመደራጀት  መስራትና  መለወጥ  ይቻላል ስራ ሳትሰራ መንግሥትን መውቀስ  ጥሩ አይደለም,positive
905,መጀመሪያ ወልቃይት የሚመለከተው ትግሬ እንጂ ወያኔ ብቻ አይመለከተው  ሙሉ ትግሬ ይመለከተዋ የፖለቲካ ጥያቄ አይደለም ,neutral
906,እኔ የሚገርመኝ ማንንም ጉዳይ ከመንግስት ጋር የማገናኘታችሁ ነገር ነዉ መንግስት ልማት ስለሆነ ቦታ የለውም ሁላችንም ወደ ስራ እንግባ አንዳንድ ዲያስፖራዎች ደግሞ የርስ በርስ አንድነታችንን አትተናኮሉት ,positive
907,እኔ ምለው  እከሌ አማራ ነው  ይህ  ትግሬ ነው ለምን እንላለን  እናት  ሀገራችንን የሚከፋፍልብንን  ዘረኛ  ማፊያ  ስብስቦችን  ተባብረን ማውደም  ነው ያለብን,positive
908,ግድቡን ሁሉም ኢትጲያዮ ይፈልገዋል ግን ባንዳ ወያኒ እድሚ ማራዘሚያ ነው ያረገው,negative
909,ወዲያ አታስጨንቁን ሃበሻ ታሞ እንጂ ፈርቶ አይሞትም,neutral
910,እውነት ወያኔ የማፍያ ቡድን ናቸው ብለን ደፍረን መናገር እንችላለን,negative
911, ከአፍሪካ መሪ ምን ትጠብቃለህ እንዳለ ሌባ ሥብሥብ ናቸው ሆዳሞች ,negative
912,እኔ የገረመኝ የኛ ዎቹ  የት ደበቁት ሌቦች,negative
913,እነሡ ብልጥ ናቸው ከቤታቸው ጉድጎድ ምሠው ቀበሩት ልበል ,negative
914,ጉድና ጅራት እያደር ነው ይላል ያገሬሠው,neutral
915,እኔ ግን በወያኔ አሁንሥ አልፍርድም እኔ እምፍርደው የወያኔ እግር አጣቢ በሆኑት ይራሣችውን ህዝብ ሲያሥበሉ እና ሲያሳርዱ የሚውሉትን የእኝን ሰወች ነው ,neutral
916, ግን በጣም  ሥልካችሁን ማግኝት እፍልጋለሁ,neutral
917,አንድም ደህና ሰው የለም ሁላቹም ዘረኞች ናቹህ,negative
918,በመንግስት ሽፋን የተንቀሳቀሰ ገንዘብ ይመስለኛል,negative
919,በአብይ ዘመን የማናየው ልማት የለም,positive
920,ፕ/ር መራራ ጉዲና እንዲህ ብሏል ሀገርን እየመራ ያለው ሰው በሲዳማ ላይ የዘር ማጥፋት ዘመቻ ከፍቶ በሄደበት ሁሉ እየሳቀ የራሱን እውቅና ይገነባል  የሱዳን እስረኞችን አስፈታው በማለት ለአለም ያስተጋባል  በሀገሩ ግን ንፁሃንን በመግደልና በማሰር ያሰቃያል  አለም ባያይም ባየሰማም የሚያይ አምላክ ግን ይፈርዳል ,negative
921,ሀገራችን የኑሮ ውድነት እንዲቀል ጩሁ,neutral
922,የ እርስት አስመላሽ ኮሚቴ ይቋቋም ,positive
923,ሠለም ውድ የሀገሬ ልጆች በእያላቹበት ሰለመቹ ይብዛ,positive
924,በኢየሱስ ስም በእንዲህ አይነት ድካም የሚመጣ ምንም አይነት ነገር ይቅርብኝ,neutral
925,እኛ ደግሞ ኤቨረስትን እንደወጣነው ጨረቃንም በእግራችን እንወጣለን,positive
926,ስማ ያኛ ሴቶች አሉ አደል እንዴ ሙሉ እድሜያቸውን በርጥብ ማገዶ ጭስ እያስለቀሳቸው ምግብ የሚያበስሉልን ምነው ከውጩ አለም ውጭ አፋችን አይከፈትም አላችሁ ,negative
927,የታሰሩት ይፈቱ ካልፈታችሁ ተቀባይነት የላችሁም,negative
928,የኛስ መቼ ይሆን ግብጽና ሳውዲ የሚሰሩልን  አረ አቢቹ በደንብ ለምንልን  አይዞህ በኋላ ጉልት ብለህ ፎቶ ትነሳበታለህ  ክክክ,negative
929,እኔ ደግሞ ረጅም ሰዓት ምግብ በመብላት ሪከርዱን እሰብረዋለሁ,negative
930,ደቡብ ኢትዮጵያ ህዝቦች እስከሁንም በችግር ውስጥ ናቸዉ,negative
931,ወረ በቻ ነው እንጂ እንደ ኢትዮጵያ ሴቶች ማን አለ ጢስ ጋር አይደለም  ምሰሩት,positive
932,ሀገራዊ ነውጥ እንጅ ለውጥ አላየንም,negative
933,የኛን የስደተኞቹን ማን አየ,neutral
934,ኢትዮጵያም በሲቪል መመራት አለባት ወታደሩ አብይ ስልጣን ጠቅልሎ ለመያዝ እና ስልጠን ለማራዘም ስውር ስራ እየሰራ ነው ,negative
935,ሀጫሉን ነዉ አንዴ የቀቀለችዉ በ  ሰአት ያልበሰለዉ,negative
936,ያረብ ሀገሩን ማን ያውራልን አመቱን ሙሉ እንደ ተገተርን,negative
937,እሚያስደንቀዉስ የኢትዮጲያ እናቶች የቤቱንም የዉጩንም እሚሰሩት,positive
938,ግን እንቅልፍ ሳትተኛ ነው ,positive
939,ይቺን ዜና ማዳሞች እንዳያዩት አደራ,positive
940,እየሰራች እየደፋች ነው ወይስ ወዴት እየሄደ ነው,positive
941,የአማራ ጠላት ናችሁ ለመጣዉ ሁሉ የምታጎበድዱ,negative
942,የአረብ አገር እኛ ጀግኖች እያለን የሌላን ዜጋ ታሞግሳለህ ,positive
943,እኔ በአንድ ሰዐት ዉስጥ ስንት ነገር እሰራለሁ ,positive
944,እንቅልፍ በኮንትራት ነው የወሰደችው,neutral
945,ሰነድ አልባ ቤቶች ካርታ ማግኘት አለባቸው ,positive
946,መንግሥት እንደዚህ ጠንከር ሲል ተቀባይነት አለው ነገር ግን ዱላ እስራትና እንግልት እስከሚናፍቀን ችላ ማለታችሁ እጅግ ያበሳጫል ደግሞም ያንጫጫል ያነጫንጫልና የፀጥታ ሃይሎቻችን ጠንከር በሉ ለማለት ነው,positive
947,ፈረስን ለመግራት አለንጋ መግዛት ግድ ነው አመሰግናለሁ,positive
948,ወንጀል መቀነስ ብቻ ሰይሆን እግረና በሰላም ወቶ እየገባ ነው ኡፍፍፍፍ ,positive
949,በትክክል መንግስት ሞተር ሳይክል ላይ በወሰደው እርምጃ ከተማዋ ሰላም አግኝታለች ,positive
950,ምተረኛ ሌባ አይደለም   ይሄን የዋ ህዝብ የማይመስል ነገር አየነገራቹ አትሸውዱት መጀመረያ በአደባባይ ሂወታቸዉን ላጡት ፉትህ ይሠጣቸዉ  ,neutral
951,አልቀነስም ስው በገዛ ቤቱ እፈራ እንቅልፍ አጥቶ እያደረ ነው እስቲ አንድ አንድ እንኮን ደካማ ጎናቹ ተናገሩ,negative
952,መከልከሉ ላይ ሳይሆን ህጉንና ዳንቡን ማጠንክር ነው,positive
953,ቀላል ተገላገልን እንዴ ሌባ እጁን ተቆረጠ,positive
954,አረ ዉጭ ቀረቶ አንግዳ በስነስራት መታዘዘ ነበረባችህ,positive
955,ይሄ ለትችት አይመችም ከታኬ ጋር ወደፊት  ,positive
956,አሪፍ ነው አረ መመለስ እንፈልጋለን መልሱን መመለስ ስለምንፈልግ መረጂ ካለ ንገሩኝ,positive
957,የባህር ዳሩ ግድያስ መነሻው ሞተር ሳይክል ነው በየቀኑ የሚታሰረውስ,neutral
958,አ/አ ላይ መኪና ማሽከርከር መቆም አለበት,neutral
959,የምን መቀነስ ነው ተደራጅተው የሰው ቤት እየዘርፉ ያሉትስ,negative
960,ወሬ ምድረ ቱልቱላ ብላቹህ ደስ ይለኝ ነበር ግን ደግሞ ያልመጣውን ለውጥ ለውጡን አልደገፍክም ተብየ ሀይላንድ እንዳይንጠለጠልብኝ ,negative
961,ከምን ጋር የተገኘህ ሰሊጥ አብረህ ተወቀጥ አሉ ሌባን አሯሯሩጦ መያዝ ሲያቅታችሁ ህግ ታወጣላችሁ ነገ ቪትስም ትቆማለች ማለት ነው,negative
962,ችግር ፈጣሪዎችን እንዲህ በጥናት ከሰራችሁበት የማይቀንስ ወንጀል የለም በርቱልን ቤታቸውን በመንግስት ደረጃ ማፍረስ እና ሕዝብን ሜዳላይ መጣልም እኮ ለራሱ ለመንግስት እና ለከንቲባው ስራ መስሎ ቢታያቸውም ለእኛ እኒህ አፍራሽ ቡድኖችም ወንጀለኛዎቻችን ናቸው ,negative
963,ህገዊ ሆኖ ሚሳራና እገ ወጥ ስራ ሚሳራ ማላያት ያማን ስራ ነባር  ሲቃጥል ሌባ ማቼም ሌባ ነው ግን ህገዊ ሆኖ ሚሳራ ማስራት አትችልም ሲባል ያማንደር ቦዛኔ እና ማጅራት ማቺ ነው ሚዮነው,negative
964,በዛ ልክ ደሞ የሰው የስራ እድል ጠፍትዋል  ከአንድ አንግል ብቻ ባይታይ ጥሩ ነው,positive
965,ለምንደነወ በተደጋጋሚ አንደ አከቢቢ እየተጎበኝ ለምንድን ነወ ደቡብ ምሕረበ ዞን ጢ/ሚ አንድም ጌዜ የማይጉበኙ,neutral
966,አስተውሎት በጎደላቸው አባላትና ነውጠኞች ከውስጥም ሆነ ከውጪ የሚገጥሙንን ጊዜአዊ ተግዳሮቶች እውነትን ተመርኩዘን በጋራ ጠንክረን በተሻገርናቸው ቁጥር  ያለን ወንድማማችነት የበለጠ እያየለ እንደሚሄድ ይሰማኛል,positive
967,አብይ እና ታከለ ኡማ እስከ   ወደው ሳይሆን በግድም ቢሆን አገር ይመራሉ ከናንተ ውጪ ማንንም አንሰማም ,positive
968,በርታ ክቡር ተመስገን ጥሩነህ,positive
969,ቧ ያለዉ ገብቶ እንዳይለሸልሻችሁ ጥይት መከላከያችሁን አልረሳችሁም አደል,negative
970,ይህ የመለጠፍ አባዜ አልለቅ አላችሁ አይደል አረ መቼ የሆን ራሳችሁ የምትችሉት,negative
971,ፅዳት ሲፀዳ እሚንጫጫው ዝንብ ብቻ ነው ምርጥ መሪዎቻችን እድሜና ጤና ይስጥልን,positive
972,አማራ ክልል ተመሪ እጅ መሪ የለም,negative
973,በተፈጥሮ ተሟልታ የታደለች ሀገር ላይ እየኖርን  እንዲህ ደግሞ በህብረት ኩታገጠም ማሳዎቻችንን በማዋሀድ ስንሰራና የላቀ ምርቶቻችንን ስንለካ  ከእኛ አልፈን ለአለም የምግብ ቅርጫት የመሆን አቅም እንዳለን ጠቋሚ ነው   በህብረት ሰርተን  በጋራ እንቋደስ ,positive
974,ዶ/ር አብይ በዚህ ፍጥነቱ ጀለሶቼ አውረተው ሳይጨርሱ ከመርከብ ስንዴና ስኳር ነፃ ሊያወጣን እንዳይሆን ,positive
975,የፈጣሪ ያለህ ይህ ሰውዬ ፎቶ ካልተነሳ አይሰራም በቃ የፎቶ መንፈስክን በእዩ ጩፊ ስም ወጋሁት,negative
976,ግልጽነት ይጎለዋል ልመና በሉት የቤኒሻንጉል ህዝብ አማራ ክልል መቸም ወደፊትም አይመጣም አማራ ግን ክልሉ ውስጥ ሰፍሮ እየተሳደበ መሬታቸውን እየቀማ ይኖራል ሀቁ ይኸ ነው,negative
977,ኢትዮጵያለዘላለም ትኑርልን ሰላማችሁ ይብዞልን,positive
978,ተመስገን ይሄንን አብኖች ሲሰሙ እንዳይገሉ እራስን ጠብቅ,neutral
979,አብይ የኔ ጀግና የኔ አስተዋይ የኔ አስታራቂ የኔ ወርቅ አላህ ይጠብቅህ ,positive
980,ሰለ እውነት ከተሰራ የጋራ ጥቅም እንጂ የጎኒዮሸ ጉዳት የለውም ነገር ግን አንዳንድ ግለሰቦች በግል ጥቅም ምክንያት የሁለቱንም አረሶ አደር የብሔረሰቦች የጎዱ ነው,positive
981,ዶ/ር አብይ አሰላ ደርሶ ህዝቡ ያነጋግረናል ብሎ ጠብቆ ነበር ሌላ ቦታ እደሚያደርገዉ ብዙ ጉድ ያለበትን ከተማ ለምን ቸል እዳለ እራሱ ነዉ የሚያቀዉ ,neutral
982,በሁሉም ክልል ጉቡኝት ያድርጉ ተደጋጋሚ አንድ ክልል ላይ ያስጠላል,negative
983,ሰነድ አልባ ቤቶች ለምን ካርታ አይሰጣቸውም መንግስት ብዙ ገቢ ያገኝ ነበር በአዲስ አበባ ውስጥ ,positive
984,ሌቦች እንደዚ እያላችው ህያላችው ህዝቡን አጭበርብሩ የጎበዝ ተማሪዎችን ውጤት ያጭበረበራችውትን ውጤት መልሱ በጀመሪያ ሌባባባ,negative
985,ታኬ ማኛ ዝንቦች አስቸገሩን እንጂ ለውጥማ አለ ,positive
986, ጎበኙ   አድናቆት ነው  ተሳትፎ ነው ወይስ ቁጥጥር አረ ለተመልካች እያሰብን ,positive
987,ታኬ ጀግናው እንድህ ነው ሰርቶ ማሰራት,positive
988,በዚህ ቋሻሻ የፀዳል በዚህ ልማት ይሰራል በቃ እቺ ሀገር ለዝንቦች አትሆንም አለ ደምላው ታደለ,positive
989,መልካም ነገር እየሰራህ እንደሆነ ይታመናል ግን ምንም መልካም ብትሰራ ያው ህገወጥ ነህ  ስለዚህ ህጋዊ ከንቲባ ይሾምልን,negative
990,አይ ታኬ ምርጥ ሰው ,positive
991,ከሥደት ወተን ሀገራችን መተን ለመማር  እያሠብን ነዉ,positive
992,ታኬ  መጀመሪያ መምህራን የጠየቁህን ጥያቄ መልስ ያለ መምህራን ተማሪም ትምህርት ቤትም የለም ,positive
993,ወቅቱ የሚፈልገው የለውጥ መሪ ለወጥን ያስተዋውቃል አብሮ ይተግብራል ይከታተላል ግብር መልስና እውቅ ይሰጣል አሉባልታ ና ግርግር ራዕይ ና ግቡን የማያስቱት አርቆ አሳቢ መሪ ይሉሃል እንዲህ ነው,positive
994,አስቲ አንተ እንኳን በርትተህ የሆ ነገር ለውጥ  ሰለቸን ይሄ ሁኔታ ነው ያለው አቅጣጫ አስቀመጥን እነሰራን ነው  ምናምን ምናምን እንደው የት ልሒድ ,negative
995,ደደብ ደንቆሮ ታሪክ እና ትምህርት ስለማይገባህ እና ስለ ማታውቅ ነው እንጅ የጎጃም እና የጎንደር ተማሪ ከጥንት ጀምሮ ባለምጡቅ አእምሮ     ባለቤት ነው,negative
996,ይሻላል ተመርቆ ቁጭ ከማለት ምነው በዚህ ጊዜ ሆኖልኝ በነበር,neutral
997,ዋና ሦስት አመት  አራት አመታት ሳይሆን ትክክለኛ  ላይ መሠራት ነው ,positive
998,የትምህርት ጥራት መሰተካከል ነዉ የሚሻለዉ  ዓመት ብራዘምም ትርጉም አይነሮዉም ወይሰ ሰራ አይገኝም ተብሎ ነዉ የተራዘመዉ,positive
999,በግል የተያዘዉ በተለይ በርቀት በአንድ ሳምንት ዕድሜ ቆይታ የሚታደለዉ ድግሪ ማስተርስ በአስቾካይ የማይቆም ከሆነ ምንም ዓይነት ለዉጥ አይመጣም  ,negative
1000,ሙያና ተታሪ ተማሪ ይገነኛል የሙያና የትምህርት ጥራት ለመጠበቅ መፍትሔው ይህ ነው አሁን እየታየ ያለው የአገር ሌብነት የሚጀምረው ፈተና ከመስረቅ ይነሳል,negative
1001,በድግሪ የተመረቃቹህ ስራ ፍለጋ ለአመታት ቁጭ ከምትሉ በንብ ማነብ በላም በአትክልት ማምረት እንደ ሽንኩርት ጎመን  ቲማቲም ምርት ላይ ብትሰማሩ አዋጭ ነዉ,positive
1002,አንድ ዓመት መጨመር ብቻ ሳይሆን አስተማሪዎች ሙሉ የትምህርት ግዜ ክፍል ገብተው እንዲያስተምሩ መደረግ አለበት,positive
1003,ስራ አጥነቱን ለመቀነስ ምን አልባት ልረዳ ይችል ይሆናል  ነገር ግን ስር ነቀል ለውጥ ካልተደረደገበት የትምህርት ጥራት አይረጋገጥም ,negative
1004,አዬ ኢህአዴግ ዙፋኑን እሲኪያመቻች ድረስ ወጣቱን በግዞት ሊያቆየው አሰበ  ገና  አመት ዬሆናል ጠብቁ ,negative
1005,በቃ  አመት ሙሉ ዛፎቹ ተጨፍጭፈዉ ማለቃቸዉ ነዉ,negative
1006,ይህን ያውቁ ኑሯል  ዩኒቨርሲቲ ውስጥ ት/ት የሚሰጠው በአመት ውስጥ የተጣራ አራት ወር ብቻ ነው ከመጀመሪያው ሰሚስተር ህዳርና ታህሳስ  ከሁለተኛው ሰሚስተር መጋቢትና ሚያዝያ ,negative
1007,በአመት የሚያልቅ የዩኒቨርስቲ ትምህርት ነበር እንዴ,neutral
1008,እኛ ትግሬ ፀዳ ያልን ነው  ያልፀዳ ይፅዳ,neutral
1009,ዝንቦች ለፎቶ ነው አላሉም እንዴ ዝንቦች ግቡ ተሳደቡ,negative
1010, አራት ዓመት ቀርቶ አስር ዓመት ቢቆይ ዱላ እና ገጀራ መያዝ የለመደ ምጡቅ አስተሳሰብ ይኖራቸዋል   ብሎ ማሰብ በራሱ ትልቅ ስህተት ነው  ,negative
1011,ጥራት ላይ ስሩ   አመት ለውጥ አያመጣም ተመራቂ ተማሪዎቻችንን አብዛኛው ጉዳቸውን እናቃለን ምንም ሳያቅ ነው ተመርቆ ሚወጣው,negative
1012,ወደነበረበት እንዲመለስ ተደረገ ብላችሁ ነው መዘገብ ያለባችሁ,neutral
1013, እባካችሁ ቢያንስ መጭው ትውልድ እንኳን ህልሙን እንዲኖር ፍቀዱለት ️ ይህእኔ አውቅልሃለሁ   የምትሉት ፈሊጣችሁም ይብቃ ,negative
1014,ይሄ ሰውየ ግን ከመዞር ውጭ ሌላ ስራ የለውም,negative
1015,አራት አመት የመቆየት ጉዳይ አይደለምዋናው በሶስት አመት ውስጥ ያሉ የት /ት ወቅቶች አስፈላጊውን ት /ት ማስተማር ጊዜያቶች በአግባቡ መጠቀም የአስተሳሰብ የአመለካከት የብዙሀነት የመቻቻል የመተባበር አንድነት መንፈስ ማስተማርና መማማር ይቻለል,negative
1016,ኦሮሜያ ክልል ብቻ ነዉ የሚመሩት,negative
1017,ምነው ኦሮሚያ ክልል ላይ ብቻ ነው ሚታዩት የሌላው ክልል መሪ አይደሉምን  ወይስ ሌላ ክልክ ከመሄድ ውጪ መሄድ ይቀሎታል,negative
1018,አይ ሀገሬ እረ በትውልድ አትቀልዱ አዲስ ፖሊሲ ጥናት እያላቹ እንደ አይጥ መሞከሪያ አረጋቹን አዲሱን ትውልድ እንኳን ተዉት አረ በቃቹ ከሽፋቹ ትውልድ አታክሽፉ,negative
1019,መንግስት ማለት እንደ አብይ አህመድ ነው ከሰሩ,positive
1020,ይብላኝ ሜንጫና ቆንጨራ የሙጥኝ ላሉና ሌብነት ስራነው ተብለው ላደጉ,negative
1021,አየ አቡች ፎቶ ሾው,negative
1022, በግድም ቢሆን ትመራናለህ ከናንተ ውጪ ማንንም አንሰማም ,positive
1023,እሰይ  ፈተና ሰርቆ ወደ ዩኒቨርሲቲ ለሚገባ የጎጃም እና የጎንደር ተማሪ ጥሩ የማጣራት ግዜ ይሆናል,negative
1024,ማንኛውንም ነገር ለመጀመር በጣም ችኩሎች መሆናችንን የሚያሳይ ነው በአንድ ጊዜ  ትምህርት መጨመር ተገቢ አይመስለኝም በጥቂቱ ጀምረን በሂደት ሌሎችን ብንጨምር መልካም ይሆን ነበር,positive
1025,ምነው ኤቴያ ድረስ ብቻ ወደ ሮቤ መስመር ወረድ ብለው የተረሳውን ህዝብ እና ሀገር አለማየታቸው  ይህ በእውነቱ ያስወቅሳቸዋል አስፋልት አስፋልቱንማ ግብዞቹ አስመሳይ መሪዎች አዳርሰውታል ያልታዩ የተረሱ ግን ብዙ ናቸው እንደጀመሩ ሁሉንም የአርሲ አካባቢዎች ይታዘቡ,neutral
1026,ምን ፋይዳ አለ የኢትይጵያ ቪርስቲ ቢገቡ ሁሉም በዘርኝነት ተለክፈዋል በጭንቅላታቸው ላይ ትምህርት ቤት ቢስራም ምንም ፋይዳ የለውም ዘርኝነቱ በደማቸው ውስጥ ተቀላቅሎል እኮ,negative
1027,መልካም ልደት ለንጉሱ እና ንግስቷ,positive
1028,የማንዴላን እና የኦባማን ልደት በያመቱ እየዘገባችሁ ምነው ስለሚኒሊክ ሲሆን አፋችሁ ተዘጋ ,negative
1029,የትምህርት ጥራት አለ ብትል ሰው እንዳይስቅብህ አሁን የሚማረው ተማሪ እንዳያቆርጥ እየተባለ እየተገፈ አይደለም የሚሄደው ,negative
1030,መልካም ልደት ለእምዬ ምንሊክ እና ለንግስቲቱ,positive
1031,እንኳን ተወለድክልን እምዬ ምኒልክ,positive
1032,ሊባ ወደሰውየው ቤት ሲገባ ለውሻው ስጋ እየሰጠ ነው ከልብ ከሆነ ደስ ይላል ሰውን ለመሽወድ ሴራ ከሆነ ግን አይጠቅምም,negative
1033,መልካም ልደት እምዬ ምኒልክ,positive
1034,የግል ተቋማት ተመራቂወች በብር ብዛት ባገኙት ከፍተኛ ውጤት ወደስራ ሲገቡ በመንግስት ዩኒቨርሲቲ አፈር ደም በልተው  ደማቸውን ሰውተው ስጋቸውን አጥፍተው በአጥንታቸው ቅሪት የተመረቁ ተማሪወች ውጤት የላችሁም እየተባሉ ለፈተና በማይጠሩበት ሁኔታ የመንግስት ዪኒቨርሲቲ ማለፊያ ውጤት መጣልኝ እያሉ መደስኮር ጅልነት ነው,neutral
1035, በአስተሳሰብ ምጡቅ ያልሆኑት  ብዝሀነትን  የሀገርን ባህል  ሀገር በቀል ዕውቀቶችንና ታሪክን የማያውቁት  ተምረው የሚመረቁት ናቸው  ,negative
1036,መልካም ልደት ለእምየ ምኒልክና እቴጌ ጣይቱ,positive
1037,በርታ ይችን በሌቦች የዳሸቀች ከተማ ከልብህ ሰርተህ ቀይራት በርታ ምርጥ ከንቲባ,positive
1038,የምርጥ የኢትዮጵያ መሪዎች ሁል ጊዜ በሥራ ላይ ናቸው,positive
1039,መሳተፍ ሳይሆን በሀገር ደረጃ ፅዳቱን በማስተባበር ላይ እንገኛለን,positive
1040,እረፍት አልባዎቹ የኢትዮጵያ የቁርጥ ቀን ልጆች ፈጣሪ ከመጥፎ ነገር ይጠብቅልን ,positive
1041,እረፍት አልባው መርዬ እግዚአብሔር ይጠብቅህ ️,positive
1042,ከሁሉ በፊት ሊፀዳ የሚገባው የአስተሳሰብ ቆሻሻነት ነው,positive
1043,ጽዱ አከባቢ እና የለማች ሀገር ልትኖረን ነው እግዚአብሔር ይመስገን,positive
1044,መልካም ልደት እምዬ ሚኒሊክ ጣይቱ ገብርዬ,positive
1045,ጥሩ ነው በርቱልን የኛ ጀግኖች ,positive
1046,ዝንቦች ሳይመጡ በፊት አመስግኜው ልውጣ እረፍት አልባው መሪዬዬ ሰላምህ ብዝት ብዝዝት ይበልልን,positive
1047,ውዶቼ ተባረኩልኝ ከክፉ ሁሉ በክርስቶስ ኢየሱስ ደም ተሸፈኑ የእግዚአብሔር ዕሳት ቅጥራችሁን ይክበበው አሜን,positive
1048,ተባረኩልን መሪ ጥሩ ምግባር ሲያደርግ ህዝብም ይከተላል ህዝባችን ለመልካም ነገር እንዲነሳሳ ምሳሌ ሆናችሁ እያነሳሳችሁት ስለሆነ በጣም እናመሰግናለን,positive
1049,አዲስአበባ በህግም በግድም የኦሮሞ ናት,positive
1050,ቲም ለማ ተጠናክሮ መጥቷል እረጅም ዕድሜ ለጀግኖቻችን በርቱ ,positive
1051,ቤቱን እሚያጸዳው ባለቤቱ ነው,positive
1052,የኦሮሞ ባህል አዲስ አበባ እንዳለ ለመናገር ከጽዳት ጋር መቀላቀል ምን አስፈለገ,positive
1053,ፅዳት የስልጣኔ መገለጫ ነው,positive
1054,ደክተርዩ በነካ እጆት እንደው ስሞትሎት ያን የጡት ሀውልት ጠራርገውት ይምጡ በሱፋንታ እኛ ተረዳድተን ጤና ኬላን እናሰራለን,positive
1055,ልክ ነው አካባቢው ፅዳት ይፈልጋል ,positive
1056,አማራ ከመሀይምነቱ የተነሳ ያልተፃፈ እያነበበ ማበዱን ቀጥሎበታል,negative
1057,እንደው ምን ይሻላቸዋል ሰው ስለ ፅዳት ሲያወራ ስለ ልደት የሚል እኔ የምለው እንደው በሞቴ ቋንቋ የሚደበላለቅባቸው ከየት ወገን ናቸው ,negative
